date,value,series
1964.08,0.08808511,Medicine
1964.992,0.08808511,Medicine
1966,0.09148936,Medicine
1967.008,0.10255319,Medicine
1968.064,0.09744681,Medicine
1969.024,0.09234043,Medicine
1970.032,0.10765957,Medicine
1971.04,0.12638298,Medicine
1972.048,0.15106383,Medicine
1973.056,0.17744681,Medicine
1974.064,0.20297872,Medicine
1975.072,0.22595745,Medicine
1976.032,0.24212766,Medicine
1977.04,0.24978723,Medicine
1978.096,0.26085106,Medicine
1979.104,0.2812766,Medicine
1980.064,0.29404255,Medicine
1981.12,0.31617021,Medicine
1982.08,0.32723404,Medicine
1984.096,0.34595745,Medicine
1985.056,0.35021277,Medicine
1986.064,0.3587234,Medicine
1987.12,0.36893617,Medicine
1988.128,0.38340426,Medicine
1989.088,0.39106383,Medicine
1990.096,0.4012766,Medicine
1991.152,0.40978723,Medicine
1992.112,0.41574468,Medicine
1993.12,0.41829787,Medicine
1994.128,0.41744681,Medicine
1995.088,0.42340426,Medicine
1996.048,0.42510638,Medicine
1997.056,0.42340426,Medicine
1957.984,0.00306383,Dentistry
1960,0.001702128,Dentistry
1962.016,0.007829787,Dentistry
1963.984,0.011914894,Dentistry
1966,0.007148936,Dentistry
1967.008,0.009191489,Dentistry
1968.016,0.00987234,Dentistry
1968.976,0.011914894,Dentistry
1969.984,0.017361702,Dentistry
1970.992,0.02893617,Dentistry
1972,0.042553191,Dentistry
1972.96,0.071148936,Dentistry
1974.016,0.107914894,Dentistry
1975.024,0.116765957,Dentistry
1976.032,0.132425532,Dentistry
1977.04,0.143319149,Dentistry
1978.048,0.153531915,Dentistry
1979.056,0.16987234,Dentistry
1980.064,0.195744681,Dentistry
1981.072,0.205957447,Dentistry
1982.08,0.224340426,Dentistry
1983.088,0.238638298,Dentistry
1984.096,0.261787234,Dentistry
1985.104,0.266553191,Dentistry
1986.064,0.308085106,Dentistry
1987.072,0.320340426,Dentistry
1988.08,0.322382979,Dentistry
1989.136,0.338042553,Dentistry
1990.144,0.384340426,Dentistry
1991.104,0.363234043,Dentistry
1992.112,0.357106383,Dentistry
1958.08,0.031914894,Law
1959.04,0.037021277,Law
1960.048,0.037021277,Law
1961.056,0.036170213,Law
1962.016,0.036170213,Law
1962.976,0.040425532,Law
1964.032,0.040425532,Law
1965.04,0.04212766,Law
1967.008,0.046382979,Law
1968.016,0.071914894,Law
1969.024,0.07106383,Law
1970.032,0.102553191,Law
1970.992,0.118723404,Law
1972.048,0.155319149,Law
1973.056,0.200425532,Law
1974.064,0.236170213,Law
1975.024,0.267659574,Law
1976.08,0.283829787,Law
1977.088,0.3,Law
1978.096,0.328085106,Law
1979.056,0.330638298,Law
1980.112,0.360425532,Law
1981.072,0.370638298,Law
1982.08,0.382553191,Law
1983.136,0.390212766,Law
1984.096,0.397021277,Law
1985.056,0.403829787,Law
1986.16,0.409787234,Law
1987.12,0.424255319,Law
1988.176,0.428510638,Law
1989.04,0.426808511,Law
1990.144,0.420851064,Law
1991.152,0.425106383,Law
1992.16,0.426808511,Law
1993.12,0.435319149,Law
1994.128,0.434468085,Law
1995.136,0.443829787,Law
1996.096,0.446382979,Law
1997.152,0.459148936,Law
1998.16,0.473617021,Law
1958.08,0.034382979,MBA
1960.048,0.025531915,MBA
1962.016,0.024851064,MBA
1964.032,0.023489362,MBA
1966,0.033702128,MBA
1968.016,0.034382979,MBA
1969.024,0.037106383,MBA
1969.984,0.037787234,MBA
1970.992,0.048,MBA
1972.048,0.064340426,MBA
1973.008,0.083404255,MBA
1974.016,0.115404255,MBA
1975.024,0.141957447,MBA
1976.08,0.169191489,MBA
1977.088,0.190978723,MBA
1978.096,0.223659574,MBA
1979.104,0.250212766,MBA
1980.112,0.278808511,MBA
1981.072,0.288340426,MBA
1982.08,0.299914894,MBA
1983.136,0.308765957,MBA
1984.096,0.31012766,MBA
1985.104,0.329191489,MBA
1986.112,0.334638298,MBA
1987.072,0.334638298,MBA
1988.128,0.338042553,MBA
1989.136,0.348255319,MBA
1990.144,0.352340426,MBA
1991.056,0.355744681,MBA
1992.064,0.363914894,MBA
1993.024,0.367319149,MBA
