index,label
for,Census API FIPS 'for' clause
in,Census API FIPS 'in' clause
ucgid,Uniform Census Geography Identifier clause
S0804_C04_068E,Estimate!!Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TIME ARRIVING AT WORK!!5:00 a.m. to 5:29 a.m.
S0503_C02_078E,Estimate!!Foreign born; Born in Europe!!Civilian employed population 16 years and over!!INDUSTRY!!Retail trade
S2603_C07_076E,Estimate!!Military quarters/military ships!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population excluding population born at sea
S0701PR_C01_028E,Estimate!!Total!!MARITAL STATUS!!Population 15 years and over
S0804_C04_067E,Estimate!!Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TIME ARRIVING AT WORK!!12:00 a.m. to 4:59 a.m.
S0503_C02_077E,Estimate!!Foreign born; Born in Europe!!Civilian employed population 16 years and over!!INDUSTRY!!Wholesale trade
S2603_C07_075E,"Estimate!!Military quarters/military ships!!PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Entered before 2000"
S0701PR_C01_029E,Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Never married
S2603_C07_078E,Estimate!!Military quarters/military ships!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population excluding population born at sea!!Asia
S0503_C02_076E,Estimate!!Foreign born; Born in Europe!!Civilian employed population 16 years and over!!INDUSTRY!!Manufacturing
S0506_C01_120E,Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Married-couple family!!With related children of the householder under 5 years only
S0804_C04_069E,Estimate!!Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TIME ARRIVING AT WORK!!5:30 a.m. to 5:59 a.m.
